#,Chinese,Pinyin,English,Part of Speech,First PoS,Level,Levels
768,毛,máo,mao; one-tenth of a yuan,量 m.w.; （名 n.）,量 m.w.,3,3（5）
769,米,mǐ,rice,量 m.w.,量 m.w.,3,3
770,面前,miànqián,in front of; facing; presence,名 n.,名 n.,3,3
771,明白,míngbai,clear; obvious; unequivocal,形 adj.; 动 v.,形 adj.,3,3
772,名单,míngdān,list of names,名 n.,名 n.,3,3
773,名人,míngrén,personage; celebrity,名 n.,名 n.,3,3
774,南,nán,south,名 n.,名 n.,3,3
775,难,nán,disaster; distress; to scold,形 adj.; （动 v.）,形 adj.,3,3（6）
776,南方,nánfāng,the south,名 n.,名 n.,3,3
777,难过,nánguò,sad; upset,形 adj.,形 adj.,3,3
778,难看,nánkàn,ugly; unsightly,形 adj.,形 adj.,3,3
779,男人,nánrén,a man; a male; men,名 n.,名 n.,3,3
780,男生,nánshēng,schoolboy; male student; boy,名 n.,名 n.,3,3
781,难题,nántí,difficult problem,名 n.,名 n.,3,3
782,难听,nántīng,unpleasant to hear; bad-sounding,形 adj.,形 adj.,3,3
783,年级,niánjí,grade; year,名 n.,名 n.,3,3
784,年轻,niánqīng,young,形 adj.,形 adj.,3,3
785,牛,niú,cow; awesome,名 n.; （形 adj.）,名 n.,3,3（5）
786,努力,nǔlì,to make an effort; to try hard; to strive,动 v.; 形 adj.,动 v.,3,3
787,女人,nǚrén,woman,名 n.,名 n.,3,3
788,女生,nǚshēng,schoolgirl; female student; girl,名 n.,名 n.,3,3
789,爬,pá,to crawl; to climb; to get up or sit up,动 v.,动 v.,3,3
790,怕,pà,to be afraid; to fear; to dread,动 v.; （副 adv.）,动 v.,3,3（4）
791,拍照,pāizhào,to take a photo,动 v.,动 v.,3,3
792,盘子,pánzi,plate,名 n.,名 n.,3,3
793,胖,pàng,fat; plump,形 adj.,形 adj.,3,3
794,啤酒,píjiǔ,beer,名 n.,名 n.,3,3
795,平时,píngshí,usually; in everyday life,名 n.,名 n.,3,3
796,瓶子,píngzi,bottle,名 n.,名 n.,3,3
797,骑,qí,to ride,动 v.,动 v.,3,3
798,奇怪,qíguài,strange; odd; to marvel,形 adj.,形 adj.,3,3
799,其实,qíshí,actually; in fact; really,副 adv.,副 adv.,3,3
800,其他,qítā,other; else; the rest,代 pron.,代 pron.,3,3
